STATE NAME,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,TOTAL GRAMS
ALABAMA,901.51,871.20,839.75,906.20,3518.65
ALASKA,676.98,588.43,686.45,619.13,2570.99
AMERICAN SAMOA,548.92,488.30,602.80,424.32,2064.35
ARIZONA,738.66,671.23,697.98,683.18,2791.05
ARKANSAS,1649.85,1584.48,1595.44,1560.72,6390.50
CALIFORNIA,820.89,796.51,804.26,797.76,3219.43
COLORADO,309.58,293.24,304.61,299.92,1207.34
CONNECTICUT,424.80,407.05,405.65,408.24,1645.74
DELAWARE,688.15,648.34,703.44,702.57,2742.50
DISTRICT OF COLUMBIA,1201.18,1058.68,1041.78,1124.43,4426.07
FLORIDA,689.84,620.08,647.91,680.04,2637.88
GEORGIA,792.51,753.88,770.05,804.58,3121.02
GUAM,515.48,491.30,503.13,431.05,1940.96
HAWAII,662.84,625.32,638.88,638.96,2566.01
IDAHO,665.45,650.79,678.08,666.66,2660.99
ILLINOIS,891.27,874.52,882.43,896.79,3545.01
INDIANA,480.57,477.52,492.60,508.19,1958.88
IOWA,423.76,387.96,402.79,386.31,1600.82
KANSAS,736.25,755.12,751.11,758.99,3001.47
KENTUCKY,797.57,772.10,775.34,775.82,3120.84
LOUISIANA,669.35,639.54,667.39,680.41,2656.69
MAINE,518.12,496.83,502.84,507.04,2024.82
MARYLAND,735.45,659.52,712.70,720.98,2828.66
MASSACHUSETTS,502.97,451.91,456.01,480.74,1891.63
MICHIGAN,1640.46,1521.29,1610.30,1608.42,6380.48
MINNESOTA,442.96,418.50,427.90,439.27,1728.62
MISSISSIPPI,597.23,578.18,564.16,633.29,2372.86
MISSOURI,947.33,905.18,899.78,938.49,3690.78
MONTANA,721.80,676.85,677.28,689.17,2765.10
NEBRASKA,422.10,432.09,417.58,425.92,1697.69
NEVADA,594.59,581.49,577.34,568.23,2321.64
NEW HAMPSHIRE,434.55,446.28,399.30,435.79,1715.92
NEW JERSEY,639.61,556.96,635.56,644.83,2476.96
NEW MEXICO,663.02,642.61,631.65,650.35,2587.62
NEW YORK,537.28,464.91,486.24,497.50,1985.93
NORTH CAROLINA,345.98,338.53,323.96,346.21,1354.69
NORTH DAKOTA,562.01,485.14,495.22,544.77,2087.14
OHIO,493.86,459.04,474.76,474.99,1902.65
OKLAHOMA,1822.58,1751.56,1966.14,1919.66,7459.95
OREGON,633.68,621.28,640.27,620.55,2515.78
PENNSYLVANIA,649.31,614.33,630.94,645.38,2539.96
PUERTO RICO,249.58,168.41,246.89,241.67,906.54
RHODE ISLAND,396.16,386.37,351.40,363.96,1497.90
SOUTH CAROLINA,1174.05,1180.58,1098.28,1271.57,4724.47
SOUTH DAKOTA,523.38,502.48,498.31,500.26,2024.43
TENNESSEE,806.01,839.64,777.21,741.26,3164.12
TEXAS,3060.07,2814.73,2943.91,2914.84,11733.54
UTAH,435.62,425.12,442.59,433.29,1736.62
VERMONT,370.45,328.42,399.81,332.79,1431.47
VIRGIN ISLANDS,586.61,489.01,628.87,491.02,2195.51
VIRGINIA,472.11,467.32,435.06,463.44,1837.93
WASHINGTON,629.20,611.20,620.87,597.30,2458.57
WEST VIRGINIA,1852.61,1783.92,1859.92,1839.36,7335.80
WISCONSIN,601.99,574.68,592.23,568.63,2337.52
WYOMING,503.48,490.22,508.91,515.34,2017.95
