STATE NAME,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,TOTAL GRAMS
ALABAMA,692.29,720.53,694.05,634.07,2740.94
ALASKA,404.77,444.49,397.86,372.21,1619.33
AMERICAN SAMOA,617.99,591.32,626.88,533.52,2369.71
ARIZONA,502.13,514.20,504.29,472.55,1993.16
ARKANSAS,1246.22,1262.84,1234.25,1172.79,4916.11
CALIFORNIA,519.37,532.92,545.98,492.77,2091.03
COLORADO,185.18,187.45,210.18,182.30,765.12
CONNECTICUT,312.32,344.58,317.51,230.74,1205.16
DELAWARE,451.13,453.03,480.26,391.44,1775.86
DISTRICT OF COLUMBIA,639.57,757.16,672.89,609.14,2678.77
FLORIDA,461.65,556.69,475.15,409.18,1902.67
GEORGIA,603.14,641.35,620.72,569.51,2434.71
GUAM,419.62,353.66,401.81,436.74,1611.83
HAWAII,470.91,462.38,537.84,436.07,1907.19
IDAHO,437.92,433.94,424.98,378.15,1674.99
ILLINOIS,620.05,742.08,602.09,594.59,2558.81
INDIANA,329.60,361.26,358.27,287.69,1336.82
IOWA,256.30,270.54,269.72,214.25,1010.80
KANSAS,609.33,616.48,620.70,481.77,2328.27
KENTUCKY,506.36,550.87,537.99,468.75,2063.97
LOUISIANA,490.20,495.45,494.76,474.32,1954.73
MAINE,365.39,403.16,402.78,279.99,1451.32
MARYLAND,521.31,545.07,519.83,387.35,1973.55
MASSACHUSETTS,326.50,358.54,329.02,215.94,1230.00
MICHIGAN,1140.17,1213.83,1178.95,1120.46,4653.41
MINNESOTA,295.97,306.60,288.96,246.11,1137.63
MISSISSIPPI,465.48,485.22,457.74,437.76,1846.20
MISSOURI,640.80,670.98,661.22,592.91,2565.91
MONTANA,503.24,508.12,537.91,415.92,1965.19
NEBRASKA,291.24,300.27,304.18,234.26,1129.95
NEVADA,353.09,384.79,468.50,344.52,1550.90
NEW HAMPSHIRE,294.70,329.05,298.55,239.13,1161.43
NEW JERSEY,438.50,493.14,449.40,327.92,1708.95
NEW MEXICO,478.19,483.08,448.52,426.22,1836.01
NEW YORK,333.47,379.62,343.78,272.26,1329.13
NORTH CAROLINA,220.15,239.68,244.41,203.40,907.64
NORTH DAKOTA,356.63,350.79,381.03,331.28,1419.73
OHIO,359.06,358.06,356.71,272.94,1346.77
OKLAHOMA,1623.66,1670.15,1621.23,1571.16,6486.20
OREGON,413.60,431.24,428.37,401.88,1675.09
PENNSYLVANIA,460.12,498.24,468.24,356.56,1783.16
PUERTO RICO,221.39,229.70,221.09,207.70,879.87
RHODE ISLAND,237.44,265.51,223.26,159.56,885.77
SOUTH CAROLINA,749.07,749.69,732.75,675.60,2907.11
SOUTH DAKOTA,335.96,341.63,370.11,271.71,1319.41
TENNESSEE,463.65,514.14,482.94,484.41,1945.14
TEXAS,1898.68,1907.82,1871.06,1866.68,7544.23
UTAH,281.90,268.38,282.92,238.99,1072.20
VERMONT,252.24,296.37,316.77,248.79,1114.17
VIRGIN ISLANDS,616.27,597.25,452.69,729.13,2395.34
VIRGINIA,333.90,334.91,323.87,267.56,1260.24
WASHINGTON,398.83,400.82,410.90,373.13,1583.68
WEST VIRGINIA,1576.16,1700.21,1620.57,1451.61,6348.56
WISCONSIN,385.73,462.59,360.41,358.47,1567.19
WYOMING,358.78,365.20,387.10,339.82,1450.91
